training,missing_modality,missing_fraction,position,accuracy,macro_f1,mae,pearson
robust,none,0.0,-1.0,0.6657496561210454,0.6319298007451318,0.6306666731834412,0.6640648298274893
robust,text,0.3,0.0,0.6519944979367263,0.6214829457021608,0.6446117758750916,0.6492220657522535
robust,text,0.3,0.5,0.6547455295735901,0.6223578084562275,0.6408119797706604,0.6553118741277619
robust,text,0.3,1.0,0.6643741403026134,0.6326444588493275,0.6570070385932922,0.6296152967053341
robust,text,0.6,0.0,0.6148555708390646,0.5878660035784008,0.6792888045310974,0.5951025621025076
robust,text,0.6,0.5,0.6588720770288858,0.6253669432365432,0.6608574986457825,0.629948029860251
robust,text,0.6,1.0,0.6533700137551581,0.6222628890716252,0.665054440498352,0.6297778092321934
robust,audio,0.3,0.0,0.6698762035763411,0.6381052476806602,0.6306098699569702,0.6638904490903755
robust,audio,0.3,0.5,0.6629986244841816,0.6297802587276272,0.6319222450256348,0.6627921727039885
robust,audio,0.3,1.0,0.6643741403026134,0.6297931973534148,0.6297689080238342,0.664947457036011
robust,audio,0.6,0.0,0.6671251719394773,0.6380235439098093,0.6319653391838074,0.6620805082460773
robust,audio,0.6,0.5,0.6547455295735901,0.6241796664873588,0.6334997415542603,0.6617007015467273
robust,audio,0.6,1.0,0.6685006877579092,0.6352737522225631,0.6309906244277954,0.6634333416124469
robust,vision,0.3,0.0,0.6698762035763411,0.6369990387331342,0.6312880516052246,0.6634916547643155
robust,vision,0.3,0.5,0.6740027510316369,0.6392930116333108,0.6294221878051758,0.664581561461368
robust,vision,0.3,1.0,0.6671251719394773,0.6346919072309537,0.6300996541976929,0.6634593221446433
robust,vision,0.6,0.0,0.6657496561210454,0.6317730322210799,0.6302893161773682,0.6640070783242388
robust,vision,0.6,0.5,0.6685006877579092,0.6346604025542687,0.626545250415802,0.6650596898686161
robust,vision,0.6,1.0,0.6698762035763411,0.6376505791002623,0.6284286379814148,0.6634629195855147
clean_training,none,0.0,-1.0,0.672627235213205,0.6380320489387298,0.628369152545929,0.6629536047130408
clean_training,text,0.3,0.0,0.6588720770288858,0.6238506226704496,0.6480798125267029,0.6416824575124059
clean_training,text,0.3,0.5,0.6547455295735901,0.6257439656122561,0.6401685476303101,0.6462711121623942
clean_training,text,0.3,1.0,0.656121045392022,0.6205571523620411,0.6558986306190491,0.6202270941791164
clean_training,text,0.6,0.0,0.609353507565337,0.5785497514416156,0.6903731822967529,0.5770963370891263
clean_training,text,0.6,0.5,0.6464924346629987,0.6208088379586701,0.6697161197662354,0.606766172275398
clean_training,text,0.6,1.0,0.640990371389271,0.6143559473787191,0.6690711379051208,0.6117335200884583
clean_training,audio,0.3,0.0,0.6753782668500687,0.6412659953101351,0.6278335452079773,0.6632350915656062
clean_training,audio,0.3,0.5,0.6753782668500687,0.6428457459614013,0.6302965879440308,0.6609770255708146
clean_training,audio,0.3,1.0,0.6740027510316369,0.6403026041733336,0.6272018551826477,0.6641528602541507
clean_training,audio,0.6,0.0,0.672627235213205,0.6423941402878685,0.6296774744987488,0.6606262082711061
clean_training,audio,0.6,0.5,0.6685006877579092,0.6378480102804995,0.6327230334281921,0.6592883407540836
clean_training,audio,0.6,1.0,0.672627235213205,0.6394035745850121,0.6292542815208435,0.6620261415723873
clean_training,vision,0.3,0.0,0.672627235213205,0.6381386896591722,0.6276832222938538,0.6630058422658962
clean_training,vision,0.3,0.5,0.6767537826685007,0.6418779806874809,0.6262229681015015,0.6636613561041854
clean_training,vision,0.3,1.0,0.6671251719394773,0.6328258462773936,0.6276288032531738,0.6617449263729857
clean_training,vision,0.6,0.0,0.6781292984869326,0.6440321191116481,0.6279500126838684,0.6631834688170398
clean_training,vision,0.6,0.5,0.6808803301237965,0.6478066017787265,0.6248274445533752,0.6639052898948876
clean_training,vision,0.6,1.0,0.6740027510316369,0.642755176560208,0.6257164478302002,0.6619553752235038
